

07/09/2015 09:48:21:876 AM EDT     File System Name = sun.nio.fs.WindowsFileSystem@c4f01f2
07/09/2015 09:48:21:876 AM EDT     Directory Tree Depth = 9
07/09/2015 09:48:21:876 AM EDT     Parent Path = C:\Users\IBM_ADMIN\Desktop\Downloads\IBM\Sage\SageFTPFileMonitoring\GSA_Test_Files
07/09/2015 09:48:21:876 AM EDT     Root of the File Path: C:\
07/09/2015 09:48:21:892 AM EDT     Total Space: 153497 MB, Available Space 16654 MB, Used Space 136843 MB
07/09/2015 09:48:21:892 AM EDT     Name of the File Storage: 
07/09/2015 09:48:21:892 AM EDT     Type of the File Storage: NTFS
07/09/2015 09:48:21:892 AM EDT     supported file attribute views: [acl, basic, owner, user, dos]
07/09/2015 09:48:21:986 AM EDT     Last Modified: 2015-07-06T18:49:22.6875Z
07/09/2015 09:48:21:986 AM EDT     Created: 2015-07-06T18:47:58.269531Z
07/09/2015 09:48:21:986 AM EDT     Last Accessed: 2015-07-06T18:47:58.269531Z
07/09/2015 09:48:21:986 AM EDT     File Size: 3214 kb
07/09/2015 09:48:21:986 AM EDT     File Type/Extension: bqy
07/09/2015 09:48:22:001 AM EDT     File Owner: KVM463-R84F2BH\yogi
07/09/2015 09:48:22:017 AM EDT     ACL: [NT AUTHORITY\SYSTEM:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, BUILTIN\Administrators:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, KVM463-R84F2BH\yogi:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW]
07/09/2015 09:48:22:033 AM EDT     Ready to insert file meta data..
07/09/2015 09:48:22:408 AM EDT     File Name = 2014-wfm-planned-KellyServices.bqy
07/09/2015 09:48:22:408 AM EDT     File System Name = sun.nio.fs.WindowsFileSystem@c4f01f2
07/09/2015 09:48:22:423 AM EDT     Directory Tree Depth = 9
07/09/2015 09:48:22:423 AM EDT     Parent Path = C:\Users\IBM_ADMIN\Desktop\Downloads\IBM\Sage\SageFTPFileMonitoring\GSA_Test_Files
07/09/2015 09:48:22:423 AM EDT     Root of the File Path: C:\
07/09/2015 09:48:22:423 AM EDT     Total Space: 153497 MB, Available Space 16654 MB, Used Space 136843 MB
07/09/2015 09:48:22:423 AM EDT     Name of the File Storage: 
07/09/2015 09:48:22:439 AM EDT     Type of the File Storage: NTFS
07/09/2015 09:48:22:439 AM EDT     supported file attribute views: [acl, basic, owner, user, dos]
07/09/2015 09:48:22:439 AM EDT     Last Modified: 2015-07-06T18:48:51.675781Z
07/09/2015 09:48:22:439 AM EDT     Created: 2015-07-06T18:47:58.394531Z
07/09/2015 09:48:22:439 AM EDT     Last Accessed: 2015-07-06T18:47:58.394531Z
07/09/2015 09:48:22:439 AM EDT     File Size: 2767 kb
07/09/2015 09:48:22:439 AM EDT     File Type/Extension: bqy
07/09/2015 09:48:22:439 AM EDT     File Owner: KVM463-R84F2BH\yogi
